name,description,price,duration,create_date,last_update_date,count,successor_id,state_id
"Catalyst Pharmaceuticals, Inc.",In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,29782.3,629,2021-05-30T01:19:58Z,2021-08-31 19:56:36 UTC,38,,1
iPath US Treasury Flattener ETN,Morbi porttitor lorem id ligula.,9278.77,183,2021-08-07T08:55:21Z,2021-10-11 18:28:17 UTC,236,,2
ZAGG Inc,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,23410.03,865,2021-12-19T21:27:44Z,2021-12-29 14:39:17 UTC,217,,2
Dun & Bradstreet Corporation (The),Vivamus in felis eu sapien cursus vestibulum.,6331.74,530,2021-11-06T16:11:36Z,2021-12-31 00:45:57 UTC,255,,2
Progress Software Corporation,"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",11551.51,823,2021-06-12T16:21:44Z,2021-07-31 11:15:01 UTC,70,,1
"Himax Technologies, Inc.",Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,12398.54,101,2021-07-18T15:28:35Z,2021-10-21 10:59:27 UTC,262,,2
Enel Americas S.A.,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",12379.71,780,2021-06-16T05:36:05Z,2021-08-10 15:22:58 UTC,212,,2
iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",17082.17,358,2022-01-20T07:42:43Z,2022-02-21 04:28:02 UTC,16,,2
"Cogent Communications Holdings, Inc.",Pellentesque eget nunc.,11248.03,702,2021-11-16T21:57:02Z,2022-02-02 20:45:55 UTC,241,,1
CPI Card Group Inc.,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",12344.82,862,2022-01-21T14:38:22Z,2022-01-28 04:18:57 UTC,138,,1
Nuveen Municipal High Income Opportunity Fund,Suspendisse potenti. Nullam porttitor lacus at turpis.,21864.45,224,2021-07-09T20:48:59Z,2021-08-10 02:10:51 UTC,231,,2
"West Marine, Inc.",Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,16206.87,257,2021-10-28T14:40:08Z,2021-12-19 18:07:08 UTC,93,,1
"ANSYS, Inc.","Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",24744.22,22,2021-05-15T21:02:30Z,2021-05-20 18:50:28 UTC,226,,1
RPM International Inc.,Morbi a ipsum. Integer a nibh.,28663.07,513,2021-11-30T23:01:00Z,2022-02-08 20:49:08 UTC,68,,1
Nuveen All Cap Energy MLP Opportunities Fund,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,29077.79,712,2021-03-31T21:40:23Z,2021-06-30 20:30:00 UTC,239,,2
Resource Capital Corp.,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",13127.76,437,2021-12-12T02:25:53Z,2022-03-14 02:28:33 UTC,175,,1
Two Harbors Investments Corp,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",25951.41,782,2021-06-25T09:21:12Z,2021-07-12 21:15:40 UTC,263,,1
Kaman Corporation,Proin risus. Praesent lectus.,23233.93,789,2021-07-28T22:54:25Z,2021-10-29 17:25:41 UTC,272,,1
National Research Corporation,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",18402.09,35,2021-09-18T15:26:16Z,2021-10-08 05:21:11 UTC,111,,2
FlexShares STOXX US ESG Impact Index Fund,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",14806.22,308,2021-08-27T16:23:35Z,2021-10-03 01:05:38 UTC,116,,2
Genworth Financial Inc,In blandit ultrices enim.,338.12,648,2021-08-25T06:30:56Z,2021-08-31 15:41:30 UTC,2,,1
"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",Nulla facilisi.,17274.72,658,2022-01-15T04:50:32Z,2022-01-17 09:57:36 UTC,81,,1
Stryker Corporation,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",16543.23,90,2021-08-14T10:55:56Z,2021-08-17 07:15:44 UTC,296,,1
China Southern Airlines Company Limited,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",23592.21,612,2022-01-30T17:32:02Z,2022-04-27 15:20:57 UTC,148,,1
Peoples Financial Corporation,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",18010.03,395,2021-08-09T20:32:52Z,2021-10-29 19:04:53 UTC,106,,1
"ASV Holdings, Inc.","Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",7614.73,163,2021-06-29T21:54:14Z,2021-07-23 19:28:26 UTC,37,,1
"Grupo Aeroportuario Del Pacifico, S.A. de C.V.","Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.",24025.29,965,2021-10-02T21:08:31Z,2021-10-22 04:00:41 UTC,150,,1
Travelport Worldwide Limited,Morbi porttitor lorem id ligula.,19611.23,907,2021-10-28T04:47:39Z,2021-12-05 01:30:06 UTC,242,,1
Vanguard Intermediate -Term Government Bond ETF,Quisque porta volutpat erat.,13792.72,50,2021-06-05T05:11:23Z,2021-08-20 17:13:44 UTC,203,,1
Stratus Properties Inc.,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",11838.45,891,2021-03-17T13:59:05Z,2021-06-13 00:18:22 UTC,21,,1
STMicroelectronics N.V.,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",20790.18,619,2021-03-28T13:43:50Z,2021-06-27 22:39:57 UTC,104,,1
"Alliance One International, Inc.",Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,20112.36,849,2021-11-07T09:57:58Z,2022-01-21 18:21:58 UTC,241,,2
QAD Inc.,Donec dapibus.,18568.16,654,2021-03-22T00:08:30Z,2021-06-04 02:01:24 UTC,158,,1
News Corporation,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,27882.46,160,2021-07-10T06:05:49Z,2021-08-24 03:19:04 UTC,255,,2
"Minerva Neurosciences, Inc",Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.,26177.54,370,2021-05-23T11:15:03Z,2021-07-31 01:09:49 UTC,102,,2
"ServiceNow, Inc.",Aenean lectus.,15340.85,422,2021-08-18T14:56:00Z,2021-11-25 18:17:35 UTC,108,,2
"Rave Restaurant Group, Inc.","Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",20234.42,54,2021-07-20T07:43:56Z,2021-09-28 05:55:40 UTC,161,,2
Coca-Cola European Partners plc,Donec semper sapien a libero. Nam dui.,25180.3,539,2022-01-04T23:03:57Z,2022-04-06 13:14:10 UTC,57,,1
Liberty Global plc,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,12660.66,146,2022-01-25T21:11:37Z,2022-01-29 12:18:41 UTC,117,,1
iStar Financial Inc.,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,16016.67,2,2021-06-18T02:22:18Z,2021-08-01 07:22:42 UTC,64,,1
International Business Machines Corporation,Sed accumsan felis.,7732.03,133,2021-04-14T21:12:43Z,2021-06-11 07:43:37 UTC,89,,2
ProAssurance Corporation,Vestibulum rutrum rutrum neque.,15091.66,438,2021-06-16T21:45:38Z,2021-06-23 13:34:09 UTC,189,,1
"Catalyst Pharmaceuticals, Inc.",Nullam varius.,25389.57,316,2021-06-22T20:59:44Z,2021-09-14 04:00:48 UTC,82,,1
"Citizens, Inc.","Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",16771.44,937,2021-03-18T09:40:29Z,2021-06-24 15:50:57 UTC,18,,1
Timken Company (The),"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",13714.31,422,2021-03-31T17:00:01Z,2021-04-27 17:38:45 UTC,258,,2
Resource Capital Corp.,Curabitur gravida nisi at nibh.,8337.95,396,2021-10-10T01:48:43Z,2021-12-26 17:06:11 UTC,154,,2
KKR Financial Holdings LLC,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,20547.2,87,2021-07-20T05:16:12Z,2021-09-18 00:35:03 UTC,27,,1
NewLink Genetics Corporation,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",16399.39,708,2021-06-16T06:09:11Z,2021-07-03 05:58:57 UTC,74,,2
State Street Corporation,Maecenas tincidunt lacus at velit.,18556.21,328,2021-04-23T23:58:02Z,2021-06-26 17:10:32 UTC,139,,2
Blackrock Municipal 2020 Term Trust,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,29630.96,913,2021-07-12T14:43:21Z,2021-09-27 19:46:12 UTC,207,,1
"HealthEquity, Inc.",Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,3208.51,146,2021-08-29T07:59:12Z,2021-11-02 09:37:55 UTC,78,,2
"Carbonite, Inc.","Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",10905.9,229,2021-03-02T06:48:27Z,2021-03-31 02:30:21 UTC,37,,2
Yingli Green Energy Holding Company Limited,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,26447.37,832,2021-12-22T14:47:09Z,2022-01-03 19:05:47 UTC,18,,1
Vericel Corporation,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",23380.03,466,2021-07-14T03:09:30Z,2021-10-11 20:06:31 UTC,25,,1
News Corporation,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1853.49,222,2021-08-21T12:05:27Z,2021-11-19 04:00:45 UTC,155,,2
Target Corporation,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,2027.21,548,2021-04-23T03:44:01Z,2021-05-22 20:25:35 UTC,289,,1
Aptevo Therapeutics Inc.,Aenean lectus.,25071.59,589,2021-11-26T12:05:26Z,2021-12-29 02:39:02 UTC,232,,1
"Q2 Holdings, Inc.","In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",3113.03,21,2022-01-08T05:40:31Z,2022-04-02 05:20:27 UTC,5,,1
"New York Mortgage Trust, Inc.","Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",27612.52,29,2021-03-09T16:38:32Z,2021-03-15 17:00:53 UTC,196,,1
Community Healthcare Trust Incorporated,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",20946.54,649,2021-06-27T09:46:50Z,2021-08-10 10:54:13 UTC,285,,1
Hovnanian Enterprises Inc,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,4038.63,838,2021-08-17T14:36:53Z,2021-09-03 20:39:29 UTC,226,,2
"Chanticleer Holdings, Inc.","Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",27734.65,745,2021-06-26T11:38:32Z,2021-09-28 10:58:37 UTC,18,,1
"Hercules Capital, Inc.","Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",20615.86,164,2021-10-14T03:08:05Z,2021-12-19 03:41:01 UTC,24,,1
WisdomTree U.S. SmallCap Quality Dividend Growth Fund,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",2249.11,313,2021-08-09T08:17:10Z,2021-10-15 12:21:21 UTC,32,,2
Assured Guaranty Ltd.,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",16431.73,268,2022-02-02T01:54:41Z,2022-03-14 20:22:21 UTC,97,,1
Targa Resources Partners LP,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",7932.3,315,2021-07-18T03:26:53Z,2021-08-22 11:42:52 UTC,8,,2
"Hercules Capital, Inc.",Suspendisse potenti. Cras in purus eu magna vulputate luctus.,27689.53,127,2021-06-06T23:01:21Z,2021-09-04 02:40:26 UTC,158,,2
"BioTelemetry, Inc.","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",24664.56,348,2021-03-29T19:56:52Z,2021-05-24 10:35:48 UTC,71,,1
Eversource Energy,Etiam pretium iaculis justo.,5508.81,322,2021-03-28T06:42:45Z,2021-05-13 19:12:38 UTC,248,,1
Energen Corporation,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,13721.63,494,2021-12-27T00:32:15Z,2022-01-06 17:23:24 UTC,141,,1
"Calavo Growers, Inc.","Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1381.43,742,2021-03-12T22:45:39Z,2021-04-04 06:11:29 UTC,238,,1
"Legg Mason, Inc.","Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",9448.27,590,2021-03-19T23:31:44Z,2021-03-21 11:38:28 UTC,229,,2
Brookfield DTLA Inc.,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",20911.98,418,2021-11-10T20:56:45Z,2021-12-17 06:32:28 UTC,192,,2
"FalconStor Software, Inc.","Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",11218.28,196,2021-10-01T08:38:27Z,2021-11-26 13:50:33 UTC,138,,1
PPL Corporation,Morbi a ipsum. Integer a nibh.,1014.29,890,2021-12-07T19:44:06Z,2022-01-30 23:34:39 UTC,67,,1
Orthofix International N.V.,Morbi porttitor lorem id ligula.,3976.69,62,2021-07-28T08:42:25Z,2021-08-24 15:30:00 UTC,272,,2
"Eastern Virginia Bankshares, Inc.",Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,11857.47,67,2022-02-15T09:21:37Z,2022-02-25 19:30:33 UTC,189,,1
"Dimension Therapeutics, Inc.",In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,6551.47,1000,2021-05-22T03:06:39Z,2021-06-29 07:10:14 UTC,21,,1
First Trust MLP and Energy Income Fund,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,29588.21,277,2021-09-14T18:01:34Z,2021-10-30 05:43:51 UTC,206,,2
CytRx Corporation,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",11902.56,223,2021-09-15T11:51:01Z,2021-12-14 19:24:49 UTC,259,,1
First Trust Europe AlphaDEX Fund,Aenean lectus.,10565.56,746,2021-06-02T23:39:43Z,2021-08-17 20:44:58 UTC,91,,2
VictoryShares US Small Cap High Div Volatility Wtd ETF,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",16425.41,363,2021-12-15T12:31:22Z,2021-12-16 13:53:41 UTC,4,,2
First Northwest Bancorp,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",11180.88,93,2021-12-05T17:04:53Z,2022-01-21 23:14:15 UTC,286,,1
Lumentum Holdings Inc.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",6290.24,983,2022-01-04T12:29:15Z,2022-03-26 14:01:39 UTC,154,,1
"GlassBridge Enterprises, Inc.",Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,952.29,870,2022-01-28T07:18:15Z,2022-02-03 11:10:14 UTC,100,,1
Limoneira Co,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",17121.94,495,2021-09-06T07:26:48Z,2021-10-14 09:02:15 UTC,48,,1
"Blueknight Energy Partners L.P., L.L.C.","Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum.",10256.48,184,2021-10-11T19:36:41Z,2021-11-05 13:54:30 UTC,163,,1
Berkshire Hathaway Inc.,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",6233.74,683,2021-03-10T07:27:08Z,2021-05-02 21:03:01 UTC,1,,1
"McDermott International, Inc.",Praesent blandit.,8623.74,617,2021-08-24T14:09:02Z,2021-11-01 02:26:04 UTC,14,,2
iShares FTSE EPRA/NAREIT Europe Index Fund,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",18764.76,708,2021-03-20T20:37:16Z,2021-05-03 10:03:42 UTC,235,,2
"Dycom Industries, Inc.",Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,22773.37,870,2021-09-11T18:36:35Z,2021-11-09 14:30:30 UTC,212,,1
Eastman Kodak Company,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",13943.25,701,2021-05-14T12:30:25Z,2021-07-26 08:41:10 UTC,260,,1
Farmer Brothers Company,In sagittis dui vel nisl.,7067.12,242,2021-07-02T13:46:48Z,2021-08-10 22:56:45 UTC,22,,2
Ferro Corporation,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",10744.38,232,2022-01-09T01:00:27Z,2022-03-02 10:16:24 UTC,96,,2
"Qualys, Inc.","Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",24148.74,673,2021-03-11T21:48:52Z,2021-04-18 14:05:30 UTC,82,,1
WashingtonFirst Bankshares Inc,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",12598.55,697,2021-12-15T23:05:29Z,2022-01-31 02:20:54 UTC,8,,2
"Maxim Integrated Products, Inc.","Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",20634.69,518,2021-05-27T02:38:31Z,2021-06-16 12:56:11 UTC,111,,2
"Retail Properties of America, Inc.",Fusce consequat.,17116.78,153,2021-06-20T19:14:50Z,2021-06-24 04:40:45 UTC,2,,2
"PT Telekomunikasi Indonesia, Tbk","Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",23879.19,286,2021-06-04T02:24:03Z,2021-06-14 13:19:58 UTC,117,,2
"Jason Industries, Inc.","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",21711.05,652,2021-04-22T07:03:42Z,2021-04-24 19:11:33 UTC,34,,2
"Frequency Electronics, Inc.","Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",11264.09,905,2021-07-08T06:16:34Z,2021-09-05 17:22:09 UTC,286,,1
Acco Brands Corporation,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",17047.72,660,2021-12-23T13:37:22Z,2022-01-26 16:53:04 UTC,36,,2
D/B/A Chubb Limited New,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",27556.9,921,2021-03-06T05:53:44Z,2021-04-05 05:11:17 UTC,249,,2
iStar Financial Inc.,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,9231.44,253,2021-07-17T05:31:27Z,2021-09-03 10:42:21 UTC,46,,2
"Insperity, Inc.","In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",7923.55,867,2021-12-15T03:56:49Z,2022-01-01 07:07:41 UTC,118,,1
Marvell Technology Group Ltd.,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",14697.69,694,2022-01-04T21:48:55Z,2022-03-08 20:09:19 UTC,289,,1
"PS Business Parks, Inc.",Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,6051.58,583,2021-07-02T14:33:25Z,2021-09-14 23:13:34 UTC,202,,2
EPR Properties,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",23255.04,858,2022-01-23T07:34:06Z,2022-03-22 04:50:33 UTC,192,,2
"Colony NorthStar, Inc.","Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",705.12,246,2021-07-29T02:12:40Z,2021-08-16 01:16:48 UTC,109,,2
DoubleLine Opportunistic Credit Fund,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",6878.58,323,2021-08-08T02:03:11Z,2021-09-10 08:13:23 UTC,75,,2
"AmTrust Financial Services, Inc.",Morbi a ipsum. Integer a nibh.,20100.45,678,2021-09-01T04:10:54Z,2021-11-03 05:47:42 UTC,94,,2
"Fenix Parts, Inc.",Nulla suscipit ligula in lacus.,26553.74,39,2021-05-03T05:19:23Z,2021-07-28 04:06:52 UTC,28,,2
"Total System Services, Inc.","Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",23829.67,588,2022-01-23T08:30:25Z,2022-04-26 11:06:43 UTC,85,,2
Affimed N.V.,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",468.5,240,2021-12-13T03:01:59Z,2022-01-03 15:57:15 UTC,208,,1
Southwestern Energy Company,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",5736.78,37,2021-08-04T11:24:52Z,2021-09-21 11:06:44 UTC,222,,1
